Rank,Name,Platform,Genre,Year,Publisher
1,Wii Sports,Wii,Sports,2006.0,Nintendo
2,Super Mario Bros.,NES,Platform,1985.0,Nintendo
3,Mario Kart Wii,Wii,Racing,2008.0,Nintendo
4,Wii Sports Resort,Wii,Sports,2009.0,Nintendo
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,1996.0,Nintendo
6,Tetris,GB,Puzzle,1989.0,Nintendo
7,New Super Mario Bros.,DS,Platform,2006.0,Nintendo
8,Wii Play,Wii,Misc,2006.0,Nintendo
9,New Super Mario Bros. Wii,Wii,Platform,2009.0,Nintendo
10,Duck Hunt,NES,Shooter,1984.0,Nintendo
11,Nintendogs,DS,Simulation,2005.0,Nintendo
12,Mario Kart DS,DS,Racing,2005.0,Nintendo
13,Pokemon Gold/Pokemon Silver,GB,Role-Playing,1999.0,Nintendo
14,Wii Fit,Wii,Sports,2007.0,Nintendo
15,Wii Fit Plus,Wii,Sports,2009.0,Nintendo
16,Kinect Adventures!,X360,Misc,2010.0,Microsoft Game Studios
17,Grand Theft Auto V,PS3,Action,2013.0,Take-Two Interactive
18,Grand Theft Auto: San Andreas,PS2,Action,2004.0,Take-Two Interactive
19,Super Mario World,SNES,Platform,1990.0,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,2005.0,Nintendo
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,2006.0,Nintendo
22,Super Mario Land,GB,Platform,1989.0,Nintendo
23,Super Mario Bros. 3,NES,Platform,1988.0,Nintendo
24,Grand Theft Auto V,X360,Action,2013.0,Take-Two Interactive
25,Grand Theft Auto: Vice City,PS2,Action,2002.0,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,2002.0,Nintendo
27,Pokemon Black/Pokemon White,DS,Role-Playing,2010.0,Nintendo
28,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,2005.0,Nintendo
29,Gran Turismo 3: A-Spec,PS2,Racing,2001.0,Sony Computer Entertainment
30,Call of Duty: Modern Warfare 3,X360,Shooter,2011.0,Activision
31,Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,1998.0,Nintendo
32,Call of Duty: Black Ops,X360,Shooter,2010.0,Activision
33,Pokemon X/Pokemon Y,3DS,Role-Playing,2013.0,Nintendo
34,Call of Duty: Black Ops 3,PS4,Shooter,2015.0,Activision
35,Call of Duty: Black Ops II,PS3,Shooter,2012.0,Activision
36,Call of Duty: Black Ops II,X360,Shooter,2012.0,Activision
37,Call of Duty: Modern Warfare 2,X360,Shooter,2009.0,Activision
38,Call of Duty: Modern Warfare 3,PS3,Shooter,2011.0,Activision
39,Grand Theft Auto III,PS2,Action,2001.0,Take-Two Interactive
40,Super Smash Bros. Brawl,Wii,Fighting,2008.0,Nintendo
41,Call of Duty: Black Ops,PS3,Shooter,2010.0,Activision
42,Animal Crossing: Wild World,DS,Simulation,2005.0,Nintendo
43,Mario Kart 7,3DS,Racing,2011.0,Nintendo
44,Halo 3,X360,Shooter,2007.0,Microsoft Game Studios
45,Grand Theft Auto V,PS4,Action,2014.0,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,2009.0,Nintendo
47,Super Mario 64,N64,Platform,1996.0,Nintendo
48,Gran Turismo 4,PS2,Racing,2004.0,Sony Computer Entertainment
49,Super Mario Galaxy,Wii,Platform,2007.0,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,2014.0,Nintendo
51,Super Mario Land 2: 6 Golden Coins,GB,Adventure,1992.0,Nintendo
52,Grand Theft Auto IV,X360,Action,2008.0,Take-Two Interactive
53,Gran Turismo,PS,Racing,1997.0,Sony Computer Entertainment
54,Super Mario 3D Land,3DS,Platform,2011.0,Nintendo
55,Gran Turismo 5,PS3,Racing,2010.0,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,PS3,Shooter,2009.0,Activision
57,Grand Theft Auto IV,PS3,Action,2008.0,Take-Two Interactive
58,Super Mario All-Stars,SNES,Platform,1993.0,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,2004.0,Nintendo
60,Super Mario 64,DS,Platform,2004.0,Nintendo
61,Just Dance 3,Wii,Misc,2011.0,Ubisoft
62,Call of Duty: Ghosts,X360,Shooter,2013.0,Activision
63,Halo: Reach,X360,Shooter,2010.0,Microsoft Game Studios
64,Mario Kart 64,N64,Racing,1996.0,Nintendo
65,New Super Mario Bros. 2,3DS,Platform,2012.0,Nintendo
66,Halo 4,X360,Shooter,2012.0,Microsoft Game Studios
67,Final Fantasy VII,PS,Role-Playing,1997.0,Sony Computer Entertainment
68,Call of Duty: Ghosts,PS3,Shooter,2013.0,Activision
69,Just Dance 2,Wii,Misc,2010.0,Ubisoft
70,Gran Turismo 2,PS,Racing,1999.0,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,X360,Shooter,2007.0,Activision
72,Donkey Kong Country,SNES,Platform,1994.0,Nintendo
73,Minecraft,X360,Misc,2013.0,Microsoft Game Studios
74,Animal Crossing: New Leaf,3DS,Simulation,2012.0,Nintendo
75,Mario Party DS,DS,Misc,2007.0,Nintendo
76,The Elder Scrolls V: Skyrim,X360,Role-Playing,2011.0,Bethesda Softworks
77,Super Mario Kart,SNES,Racing,1992.0,Nintendo
78,FIFA 16,PS4,Sports,2015.0,Electronic Arts
79,Wii Party,Wii,Misc,2010.0,Nintendo
80,Halo 2,XB,Shooter,2004.0,Microsoft Game Studios
81,Mario Party 8,Wii,Misc,2007.0,Nintendo
82,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,2012.0,Nintendo
83,FIFA Soccer 13,PS3,Action,2012.0,Electronic Arts
